minute,rss_kb,handles,threads,tcp
0,111360,607,26,2
1,113256,609,21,2
2,115780,614,19,2
3,115136,614,18,0
4,115996,633,19,2
5,116060,617,18,0
6,gone,,,
7,340236,889,29,2
8,343428,896,26,2
9,358212,911,24,0
