minute,rss_kb,handles,threads
0,102848,552,24
1,103852,539,17
2,103788,536,15
3,103952,533,14
4,104400,536,15
5,gone,,
6,111996,610,25
7,114084,609,20
8,116064,616,19
9,114968,608,16
