minute,rss_kb,handles,threads
0,111624,604,26
1,113180,603,20
2,114140,609,19
3,115256,617,18
4,116812,618,17
5,116216,618,19
6,116592,616,19
7,116640,643,18
8,117436,634,17
9,117308,632,16
10,117088,626,16
11,117080,626,14
12,117836,658,19
13,118568,647,15
14,118616,645,16
