minute,rss_kb,handles,threads
0,112260,612,25
1,114008,623,21
2,116600,625,19
3,116900,628,18
4,119516,644,18
5,121328,643,20
6,122244,653,20
7,122900,672,19
8,gone,,
9,192148,854,37
10,185428,794,23
11,gone,,
12,gone,,
13,gone,,
14,gone,,
15,183820,842,31
